The Great Gatsby,F. Scott Fitzgerald,1925,Scribner
1984,George Orwell,1949,Secker & Warburg
To Kill a Mockingbird,Harper Lee,1960,J.B. Lippincott & Co.
The Catcher in the Rye,J.D. Salinger,1951,Little Brown and Company
Moby-Dick,Herman Melville,1851,Harper & Brothers
Pride and Prejudice,Jane Austen,1813,T. Egerton
The Lord of the Rings,J.R.R. Tolkien,1954,Allen & Unwin
The Hobbit,J.R.R. Tolkien,1937,George Allen & Unwin
Harry Potter and the Sorcerer's Stone,J.K. Rowling,1997,Scholastic
The Alchemist,Paulo Coelho,1988,HarperOne
The Book Thief,Markus Zusak,2005,Knopf Books
War and Peace,Leo Tolstoy,1869,The Russian Messenger
Crime and Punishment,Fyodor Dostoevsky,1866,The Russian Messenger
The Odyssey,Homer,-800,Various
The Chronicles of Narnia,C.S. Lewis,1950,Geoffrey Bles
The Hunger Games,Suzanne Collins,2008,Scholastic Press
Brave New World,Aldous Huxley,1932,Chatto & Windus
The Catcher in the Rye,J.D. Salinger,1951,Little Brown and Company
Les Misérables,Victor Hugo,1862,A. Lacroix Verboeckhoven & Cie
The Shining,Stephen King,1977,Doubleday
Gone with the Wind,Margaret Mitchell,1936,Macmillan Publishers
The Fault in Our Stars,John Green,2012,Dutton Books
The Great Alone,Kristin Hannah,2018,St. Martin's Press
Little Women,Louisa May Alcott,1868,Roberts Brothers
The Girl on the Train,Paulette Mahurin,2015,St. Martin's Press
The Da Vinci Code,Dan Brown,2003,Doubleday
Sapiens: A Brief History of Humankind,Yuval Noah Harari,2011,Harvill Secker
Thinking Fast and Slow,Daniel Kahneman,2011,Farrar Straus and Giroux
The Silent Patient,Alex Michaelides,2019,Celadon Books
The Road,Cormac McCarthy,2006,Alfred A. Knopf
Educated,Tara Westover,2018,Random House
The Night Circus,Erin Morgenstern,2011,Doubleday
The Secret Garden,Frances Hodgson Burnett,1911,Frederick A. Stokes Company
A Game of Thrones,George R.R. Martin,1996,Bantam Books
Fahrenheit 451,Ray Bradbury,1953,Ballantine Books
The Outsiders,S.E. Hinton,1967,Viking Press
The Giver,Lois Lowry,1993,Houghton Mifflin
Animal Farm,George Orwell,1945,Secker & Warburg
Wuthering Heights,Emily Brontë,1847,Thomas Cautley Newby
1984,George Orwell,1949,Secker & Warburg
The Picture of Dorian Gray,Oscar Wilde,1890,Chapman & Hall
The Brothers Karamazov,Fyodor Dostoevsky,1880,The Russian Messenger
Don Quixote,Miguel de Cervantes,1605,Francisco de Robles
The Divine Comedy,Dante Alighieri,1320,Various
One Hundred Years of Solitude,Gabriel García Márquez,1967,Editorial Sudamericana
The Stranger,Albert Camus,1942,Gallimard
The Bell Jar,Sylvia Plath,1963,Harper & Row
Slaughterhouse-Five,Kurt Vonnegut,1969,Viking Press
The Handmaid's Tale,Margaret Atwood,1985,McClelland and Stewart
The Color Purple,Alice Walker,1982,HarperCollins
The Help,Kathryn Stockett,2009,Amy Einhorn Books
The Perks of Being a Wallflower,Stephen Chbosky,1999,MTV Books
The Diary of a Young Girl,Anne Frank,1947,Contact Publishing
The Tipping Point,Malcolm Gladwell,2000,Little Brown and Company
The Power of Habit,Charles Duhigg,2012,Random House
Into the Wild,Jon Krakauer,1996,Anchor Books
The Immortal Life of Henrietta Lacks,Rebecca Skloot,2010,Crown Publishing Group
The Martian,Andy Weir,2011,Self-published
Shantaram,Gregory David Roberts,2003,St. Martin's Press
The Kite Runner,Khaled Hosseini,2003,Riverhead Books
The Girl with the Dragon Tattoo,Stieg Larsson,2005,Stockholm Publishing
The Shadow of the Wind,Carlos Ruiz Zafón,2001,Planeta
The Art of Racing in the Rain,Garth Stein,2008,HarperCollins
Atonement,Ian McEwan,2001,Jonathan Cape
The Time Traveler's Wife,Audrey Niffenegger,2003,MacAdam/Cage Publishing
The Glass Castle,Jeannette Walls,2005,Scribner
A Thousand Splendid Suns,Khaled Hosseini,2007,Riverhead Books
Life of Pi,Yann Martel,2001,Knopf Canada
The Nightingale,Kristin Hannah,2015,St. Martin's Press
Room,Emma Donoghue,2010,Faber & Faber
The Help,Kathryn Stockett,2009,Putnam Adult
The 5th Wave,Rick Yancey,2013,Putnam Juvenile
The Maze Runner,James Dashner,2009,Delacorte Press
The Book Thief,Markus Zusak,2005,Alfred A. Knopf
The Shining,Stephen King,1977,Doubleday
